substance,density,temperature,mean_a1,mean_a2,error_a1,error_a2
C1,29.04069600000001,600.0,-0.0864295217644048,-0.0042228805961394,7.104927716943441e-05,0.0001510820509836
C1,48.07829500000001,600.0,-0.1450635212477298,-0.0065609664887793,7.9509684726497e-05,0.0002104098316005
C1,67.11834599999999,600.0,-0.2055167094591171,-0.007636545669475,8.200718812252465e-05,0.0002322875600805
C1,86.155847,600.0,-0.2679186353791671,-0.0086694188033252,0.0001070894264906,0.0003506728899743
C1,105.18310799999996,600.0,-0.3314131546069863,-0.0087734683541677,9.585850899507692e-05,0.0002875839687288
C1,124.24058399999994,600.0,-0.3968073442037225,-0.0095168991277608,9.316068143831837e-05,0.000275731280411
C1,143.29063300000007,600.0,-0.4634196574882071,-0.0089105410671562,8.36425685591162e-05,0.0002600141246566
C1,162.32827300000005,600.0,-0.5318604139258655,-0.0083038619496583,9.89271698121042e-05,0.0002802411445148
C1,181.31765600000003,600.0,-0.6012095058777163,-0.0084328351016728,9.6658938344462e-05,0.0003212078177966
C1,200.42936300000005,600.0,-0.671876839262465,-0.0075536811795983,9.592034126767452e-05,0.0002652457438839
C1,219.381824,600.0,-0.7434782796251916,-0.0063958970314188,9.556408853998757e-05,0.0002515771960395
C1,238.4753890000001,600.0,-0.8165836956944458,-0.0058197831405126,6.749527768393538e-05,0.0001636509331893
C1,257.5229140000001,600.0,-0.8902894632685615,-0.005428337476494,7.397156036151389e-05,0.0001693055467257
C1,276.58895399999994,600.0,-0.9651659800545522,-0.0051188498884792,7.831680342372517e-05,0.0001800924402116
C1,295.467631,600.0,-1.0397292079570457,-0.0043359858694515,7.13761559724824e-05,0.0001468778640499
C1,314.681955,600.0,-1.11601624992145,-0.0038337790741132,7.84300943151455e-05,0.0001580029518094
C1,333.753091,600.0,-1.1919584320297056,-0.0033080303251489,6.267793263456636e-05,0.0001129372408477
C1,352.6360089999999,600.0,-1.2673595889802092,-0.0030388098040653,5.486828205698528e-05,9.589845780718343e-05
C1,371.642675,600.0,-1.3431143968246655,-0.0026176836191432,6.36353061068703e-05,0.0001043430099808
C1,390.9128039999999,600.0,-1.4198378273711552,-0.0026022653871994,5.6069755289352086e-05,8.911251856651701e-05
C2,48.06500300000001,600.0,-0.1802028731879325,-0.0194171496733199,0.000197324043349,0.0006256882071106
C2,67.104291,600.0,-0.2566519112457867,-0.024832955796348,0.0002273054469587,0.0008651067266421
C2,86.11953999999997,600.0,-0.3353531911220967,-0.0293662973265583,0.0002455184606763,0.0009341842117404
C2,105.15239999999996,600.0,-0.4169064533769489,-0.0294809652420744,0.0002416927851622,0.0009048203023114
C2,124.18388899999997,600.0,-0.5019511365813317,-0.0338667915062095,0.0002644610978331,0.0010916459730458
C2,143.24215600000002,600.0,-0.5903188010515523,-0.0352606037578702,0.0002686924982041,0.0011463717931945
C2,162.23333799999995,600.0,-0.6785617004826111,-0.0382138995803701,0.0002570091270879,0.0010908555310735
C2,181.35033100000007,600.0,-0.77317955296834,-0.0349302734904408,0.0002488694602407,0.001029073652125
C2,200.39998000000003,600.0,-0.868324222494127,-0.0373816734564441,0.0002672396848353,0.0012023552308532
C2,219.30438300000003,600.0,-0.966420352830519,-0.0356281157966604,0.0003109602022167,0.0012868959291301
C2,238.4118090000001,600.0,-1.067977465884414,-0.033020992975476,0.0002815996161912,0.0010813429832525
C2,257.3919890000001,600.0,-1.1711195022321832,-0.030416572645886,0.00027485440585,0.0010827667751185
C2,276.50126999999986,600.0,-1.2780794439026866,-0.0285186942231203,0.0002411807683702,0.0009315879581081
C2,295.57945600000005,600.0,-1.3870999838781082,-0.0278879024988668,0.0002045937140764,0.0008287242234694
C2,314.48998300000005,600.0,-1.4970812783932392,-0.0247375515864163,0.0001936776549428,0.0006792674582641
C2,333.66577400000006,600.0,-1.6104345561461224,-0.0228063366505645,0.0002081482057883,0.0007166746894821
C2,352.609262,600.0,-1.7246339566809763,-0.0205495204456993,0.0002880971763441,0.0009483865144542
C2,371.637273,600.0,-1.841614926247365,-0.017312904919835,0.0001929397356732,0.0005675438248511
C2,390.550445,600.0,-1.9590232965302428,-0.0153006515800784,0.0001959593124811,0.0005614806619617
C3,29.037145,600.0,-0.118542744283955,-0.0185950596486765,0.0002016257668725,0.0005119011313163
C3,48.075428,600.0,-0.1998399270193622,-0.0289272042013569,0.0003425029312068,0.0010692431340646
C3,67.11371299999999,600.0,-0.284728835240551,-0.0369191405085092,0.0003275212702765,0.0011165433189806
C3,86.14681199999998,600.0,-0.3729895010119006,-0.0445926463648193,0.0003890812935972,0.001478807043125
C3,105.18191900000002,600.0,-0.4651640537600058,-0.0501408004560104,0.0003515560022898,0.001483890919839
C3,124.18106800000004,600.0,-0.560453532890678,-0.0556993266676363,0.0003493519774533,0.0016722416629536
C3,143.25964100000004,600.0,-0.6600593469481941,-0.0585125573484123,0.0004315149810124,0.0020203721048951
C3,162.251569,600.0,-0.7613138720594042,-0.0585879927521656,0.0003115870250533,0.0016536712746005
C3,181.312984,600.0,-0.8679002031251092,-0.0606275094768116,0.0004546822535694,0.0021596661310249
C3,200.33512,600.0,-0.9776750066355636,-0.0596008306354881,0.0004316182477946,0.0019623924170998
C3,219.3887100000001,600.0,-1.0894836055877914,-0.0595707403907067,0.0003638671831106,0.0018084196069357
C3,238.40207400000008,600.0,-1.2070937116048708,-0.0603214527447486,0.0004185076779643,0.0019767246645176
C3,295.573119,600.0,-1.5775495622400215,-0.0504179499120218,0.0004139188188255,0.0017011887527378
C3,314.46668300000005,600.0,-1.706372505326424,-0.0510813185832597,0.0003693356562585,0.0016969154981257
C3,333.64331000000004,600.0,-1.8400543582435969,-0.0465682173335683,0.0003060898544373,0.001238110851129
C3,352.61455500000005,600.0,-1.975568966159262,-0.0403987124890474,0.0004096494025042,0.0015642155662255
C3,371.69557799999984,600.0,-2.1148162193614155,-0.0390806583294522,0.000343308893887,0.0012563529486777
C3,390.691938,600.0,-2.255189494468254,-0.0354146349921384,0.0003429034557488,0.001218778330215
C4,29.03965,600.0,-0.1293409961911716,-0.0266010935945003,0.0003073070825676,0.000819444012694
C4,48.076927,600.0,-0.2192493585309219,-0.0381496328288299,0.0003971526919046,0.0012467722224063
C4,67.10159399999998,600.0,-0.3130730534517214,-0.0503533741562139,0.0003893606337072,0.0014311207571638
C4,86.15259199999998,600.0,-0.410814908851675,-0.0622790886616524,0.0005093938272777,0.0020520070929181
C4,105.19185599999996,600.0,-0.5115695539948141,-0.0697037127553795,0.000520550670249,0.0023696345841506
C4,124.234541,600.0,-0.6189628021088719,-0.0772217580553325,0.0005416006331118,0.0026392481465496
C4,162.27704799999998,600.0,-0.8437073586259306,-0.0857207908921061,0.0004834212487081,0.002277374303309
C4,181.32344400000008,600.0,-0.9618639260917764,-0.0828353543490307,0.0005851791975327,0.0028040441839345
C4,200.34203400000004,600.0,-1.0848028475777458,-0.0857714734417001,0.0005787050470855,0.0027691844998478
C4,219.440904,600.0,-1.211876267876394,-0.0857114062048204,0.0006671952063587,0.0032125619058441
C4,238.423578,600.0,-1.3434577616708223,-0.08536194393796,0.0006907473073645,0.0030585575666578
C4,257.382373,600.0,-1.478862548594193,-0.0840531299375479,0.0006556843002412,0.0030316349288471
C4,276.42704599999985,600.0,-1.619150736495919,-0.078123060517205,0.0005911460814311,0.0028145433879981
C4,295.615534,600.0,-1.764762436906583,-0.0790826289343345,0.0006771617305331,0.0029752426660976
C4,314.62142000000006,600.0,-1.912195882410391,-0.0747650815003077,0.0005150885052323,0.002212028762265
C4,333.61028600000003,600.0,-2.0621743816449394,-0.0702037162360541,0.0008261535218692,0.0038210906140676
C4,352.59307699999994,600.0,-2.217246864297271,-0.0673966572421978,0.0004555971008835,0.0018290536369348
C4,371.640473,600.0,-2.3774566083384263,-0.0600996415988805,0.0005269551934993,0.0021192991509365
C4,390.5471150000001,600.0,-2.538138389486704,-0.0585044447064104,0.0006290189856466,0.0023901196969477
