substance,density,temperature,pore_size,mean_a1,mean_a2,error_a1,error_a2
C4,105.191856,600.0,120.0,-0.5523421068494684,-0.0952323306220881,0.0004628715424903,0.0022992437349094
C4,124.234541,600.0,120.0,-0.6455278232086866,-0.101150909951408,0.0005585817396628,0.0027978137346062
C4,162.277048,600.0,120.0,-0.8403570681358584,-0.1001747088823714,0.0005377953492164,0.0028147855412975
C4,181.32344400000005,600.0,120.0,-0.9581967423276618,-0.1003389666334718,0.0005753130383008,0.0028837583234173
C4,200.34203400000004,600.0,120.0,-1.0736972192735832,-0.096362410708908,0.0005569996344459,0.0027856118561458
C4,219.440904,600.0,120.0,-1.1949270754590735,-0.0939940410502607,0.0004783752002923,0.0024021494958272
C4,238.423578,600.0,120.0,-1.3211435286855242,-0.0939083246600733,0.0006115171000641,0.0030814566358358
C4,257.382373,600.0,120.0,-1.4528730337473534,-0.0860267234807911,0.0005474442627019,0.0026357523146064
C4,276.4270459999999,600.0,120.0,-1.5896052399356713,-0.0866511980450689,0.0005884078633841,0.0027428017445991
C4,295.615534,600.0,120.0,-1.7314791137601453,-0.0803774292992415,0.0005235450780519,0.0023505854231717
C4,314.62141999999994,600.0,120.0,-1.877973079910339,-0.0775149945469161,0.000486290171901,0.0021001686956746
C4,333.61028600000003,600.0,120.0,-2.0274508826923414,-0.0684884896126341,0.0006097908076942,0.0026638133649952
C4,352.5930769999999,600.0,120.0,-2.1825455838140484,-0.0665210482444201,0.0004586152202063,0.0019070460019273
C4,371.640473,600.0,120.0,-2.342439185544321,-0.0593768783292774,0.0004671482968214,0.0017575986756342
C4,390.547115,600.0,120.0,-2.503967944729044,-0.0560006947310198,0.0004440132984474,0.0017224079670893
